num_trees15,min_distance_park,num_build50,mean_fa_ratio,Sensor.ID,Latitude,Longitude
0,71.89178527401256,5,1.0139642455561453,Bk-EN_14,-8225936.406328387,4527075.595720263
0,225.16184843639334,2,0.21705641863046232,Bk-EN_02,-8226091.14042059,4527099.62848513
3,18.423928189871212,20,0.9416053721422818,Bk-EN_33,-8225389.73412022,4527125.838659237
2,99.0006272875105,7,1.1333786161801207,Bk-EN_16,-8225747.50383168,4527155.522001457
5,127.23136849601805,22,1.2949930543553265,Bk-EN_18,-8225194.44633752,4527163.197480349
2,217.63789061176163,9,1.0658904484293636,Bk-EN_13,-8226058.330113874,4527192.98546289
3,99.50746581676951,25,1.4343210136366344,Bk-EN_04,-8225831.646895185,4527196.045635691
4,118.22941596457848,18,1.3785650315305746,Bk-EN_18,-8225204.585316743,4527202.970821214
3,4.8857494601527325,14,0.8888631127624519,Bk-EN_15,-8225356.536421674,4527213.778830574
0,171.7649707291506,11,1.0421881038683392,Bk-EN_11,-8226037.373106536,4527294.0045612
5,64.56374376706198,27,1.253610643629599,Bk-EN_30,-8225551.240890242,4527298.2347018495
3,127.05575771706415,22,0.8674953152966517,Bk-EN_32,-8225441.5444376245,4527328.697280506
2,112.09682664558174,16,1.2972327225036901,Bk-EN_06,-8225762.225834337,4527337.971307283
2,23.943951999953583,13,1.3540080338680254,Bk-EN_25,-8225585.934722743,4527343.952503523
2,156.8678410671869,21,1.5579171794807938,Bk-EN_21,-8225302.441828319,4527388.626128374
2,17.008378758153757,3,0.40453635414665845,Bk-EN_21,-8225107.983375827,4527416.007383524
3,118.18645552978263,1,0.18966486384264866,Bk-EN_12,-8226078.8429564405,4527417.277538914
3,20.226985285959493,10,1.0357190722686183,Bk-EN_01,-8225908.5553049855,4527437.790381482
3,16.068883998100667,8,0.9475024737094088,Bk-EN_02,-8225918.301326404,4527440.558897219
2,121.72274015817449,14,1.1617283021054685,Bk-EN_23,-8225705.0855397135,4527529.876090657
1,28.344549780185236,15,1.4217376919247235,Bk-EN_22,-8225319.377975647,4527540.861098008
1,236.09997420735112,1,0.1373901398968065,Bk-EN_05,-8226203.6844257815,4527545.14133243
2,0.6761082065522505,1,1.4554463565319398,Bk-EN_24,-8225176.875669094,4527548.045657944
0,3.002429779787637,0,0.0,Bk-EN_20,-8225921.239047765,4527583.978476376
1,2.987131990270615,1,0.05388609660214417,Bk-EN_20,-8225899.887969432,4527587.135497136
2,122.36878649777836,23,1.1605991305832493,Bk-EN_34,-8225509.025199748,4527594.130813937
